序号,节点ID,纬度,经度,距离_m,耗时_s,通行次数,置信度
0,0,23.044299,113.211749,272.6,35.5,2.0,0.314
1,570,23.043563,113.214291,185.1,29.2,45.0,0.581
2,214,23.044021,113.216029,614.4,170.7,1.0,0.0
3,324,23.044427,113.222017,194.6,33.6,89.0,0.851
4,492,23.044766,113.223884,636.8,176.9,1.0,0.0
5,178,23.045804,113.230004,409.1,113.6,1.0,0.0
6,175,23.046175,113.233982,208.9,32.6,123.0,0.849
7,183,23.046245,113.236022,254.9,70.8,3.0,0.0
8,6626,23.047092,113.238336,189.0,52.5,6.0,0.0
9,3646,23.047161,113.240182,200.0,28.0,15.0,0.405
10,2540,23.04722,113.242136,204.6,33.4,27.0,0.759
11,1109,23.047248,113.244135,407.4,119.0,0.0,0.405
12,182,23.047736,113.248082,468.2,130.1,1.0,0.0
13,250,23.049372,113.252298,7768.9,2158.0,1.0,0.0
14,111,23.050508,113.328218,221.1,58.3,77.0,0.731
15,60,23.049498,113.330079,231.7,133.3,9.0,0.371
16,565,23.04841,113.33201,1305.9,362.8,1.0,0.0
17,733,23.044118,113.343891,1541.9,1532.0,1.0,0.405
18,6256,23.039681,113.358168,1025.2,88.0,1.0,0.405
19,10028,23.037418,113.367881,638.0,177.2,1.0,0.0
20,8273,23.038114,113.374069,458.7,136.0,1.0,0.405
21,10671,23.037824,113.378541,500.1,101.0,2.0,0.32
22,12069,23.037922,113.383427,3570.6,991.8,1.0,0.0
23,11969,23.056112,113.412184,437.7,142.0,1.0,0.405
24,455,23.05799,113.415943,147.4,26.0,9.0,0.647
25,5616,23.05837,113.417324,304.1,38.0,2.0,0.405
26,9174,23.060331,113.419395,329.3,91.5,3.0,0.0
27,11109,23.06214,113.421944,284.3,160.0,2.0,0.405
28,11966,23.064094,113.423735,339.8,236.0,2.0,0.303
29,10235,23.066398,113.425917,279.1,130.0,5.0,0.41
30,10306,23.067656,113.428278,308.2,30.0,4.0,0.405
31,11212,23.070145,113.429604,548.3,30.0,3.0,0.405
32,10400,23.072726,113.434171,4024.6,1117.9,1.0,0.0
33,4576,23.06433,113.472438,89.8,390.0,2.0,0.405
34,9343,23.064766,113.473177,724.6,161.0,1.0,0.405
35,712,23.061524,113.479321,234.1,65.0,5.0,0.0
36,606,23.061692,113.481602,1760.7,489.1,1.0,0.0
37,9535,23.05418,113.496751,275.7,63.2,4.0,0.38
38,9140,23.052342,113.49856,180.1,36.5,4.0,0.594
39,2466,23.052288,113.500319,175.9,26.8,25.0,0.746
40,1377,23.051948,113.501998,208.2,20.7,9.0,0.43
41,1700,23.052023,113.504031,182.6,6.5,12.0,0.45
42,2334,23.051733,113.505788,293.9,81.6,2.0,0.0
43,3235,23.049883,113.507838,189.5,181.0,4.0,0.405
44,6516,23.049472,113.509635,255.4,832.0,2.0,0.405
45,12014,23.050233,113.51199,2467.7,685.5,1.0,0.0
46,9181,23.06124,113.532933,300.1,88.0,1.0,0.399
47,6919,23.063358,113.534752,300.3,180.0,1.0,0.405
48,4941,23.06546,113.536594,326.3,271.0,5.0,0.461
49,2148,23.067833,113.53847,103.2,69.1,10.0,0.474
50,5218,23.068463,113.539211,297.8,33.0,2.0,0.405
51,9267,23.070151,113.54147,318.3,30.0,2.0,0.405
52,11945,23.071792,113.544019,303.0,84.2,2.0,0.0
53,11106,23.074189,113.54543,345.5,96.0,1.0,0.0
54,10803,23.076162,113.548039,272.3,48.7,3.0,0.405
55,10216,23.077892,113.549923,362.7,62.3,4.0,0.43
56,10350,23.080625,113.551858,214.6,31.3,3.0,0.499
57,10492,23.080226,113.553911,248.2,41.3,3.0,0.451
58,10616,23.081445,113.555943,204.4,38.5,3.0,0.488
59,10615,23.082132,113.557796,337.4,45.8,3.0,0.49
60,6461,23.084398,113.55999,189.5,41.5,6.0,0.556
61,8709,23.084405,113.561842,389.6,60.0,1.0,0.405
62,936,23.085986,113.565241,263.5,62.8,13.0,0.438
63,4783,23.086644,113.567716,268.9,74.7,3.0,0.0
64,1863,23.087732,113.570064,197.0,46.1,30.0,0.629
65,141,23.088512,113.571794,666.1,388.0,1.0,0.405
66,850,23.090682,113.577863,256.0,110.0,6.0,0.425
67,1236,23.091524,113.580193,463.0,128.6,1.0,0.0
68,5329,23.093473,113.584193,393.8,60.0,1.0,0.405
69,2177,23.094405,113.587908,1043.7,289.9,1.0,0.0
70,1556,23.10013,113.595993,456.4,126.8,1.0,0.0
71,2647,23.102653,113.599513,299.7,83.2,7.0,0.0
72,1337,23.104194,113.601917,1080.1,300.0,1.0,0.0
73,45,23.107518,113.61184,152.4,108.2,18.0,0.534
74,98,23.107324,113.613315,319.6,264.5,13.0,0.39
75,6,23.107416,113.616438,,,,
